Coarse_Class_Antecedent,Coarse_Class_Consequent,Coarse_Class_Confidence,Fine_Class_Antecedent,Fine_Class_Consequent,Fine_Class_Confidence
"Seafood","Meat",0.3147301317467063,"Shrimp_Scampi","Cut-Fruit_Cup_Seasonal_Mix",0.2363574351978171
"Meat","Seafood",0.3157715201855673,"Cut-Fruit_Cup_Seasonal_Mix","Shrimp_Scampi",0.3011734028683181
"Fruit_cup","Meat",0.5932380620425235,"Grilled_Salmon","Cut-Fruit_Cup_Seasonal_Mix",0.2321640399932215
"Meat","Fruit_cup",0.4644641912981188,"Cut-Fruit_Cup_Seasonal_Mix","Grilled_Salmon",0.297696653628857
"Fruit_cup","Seafood",0.5962225514116417,"Cut-Fruit_Cup_Seasonal_Mix","Chicken_Caesar_Salad",0.1048674489352455
"Seafood","Fruit_cup",0.4652613684657883,"Chicken_Caesar_Salad","Cut-Fruit_Cup_Seasonal_Mix",0.1596216180459085
"Fruit_cup","Seafood, Meat",0.2135543743464621,"Shrimp_Scampi","Chicken_Caesar_Salad",0.1548772169167803
"Seafood","Fruit_cup, Meat",0.1666468338291542,"Chicken_Caesar_Salad","Shrimp_Scampi",0.3003902890785209
"Meat","Fruit_cup, Seafood",0.167198239838993,"Chicken_Caesar_Salad","Grilled_Vegetables",0.1586955083680624
"Fruit_cup, Seafood","Meat",0.3581789615988893,"Grilled_Vegetables","Chicken_Caesar_Salad",0.1047415298637792
"Fruit_cup, Meat","Seafood",0.3599809048178614,"Chicken_Caesar_Salad","Mixed_Veggie_Stir_Fry",0.1629953033009195
"Seafood, Meat","Fruit_cup",0.5294911958517878,"Mixed_Veggie_Stir_Fry","Chicken_Caesar_Salad",0.1078856342221638
"Salad","Meat",0.5941449996725392,"Cut-Fruit_Cup_Healthy_Mix","Chicken_Caesar_Salad",0.1075390932121953
"Meat","Salad",0.4641912981187426,"Chicken_Caesar_Salad","Cut-Fruit_Cup_Healthy_Mix",0.16286300191837
"Salad","Fruit_cup",0.3169384591874604,"Grilled_Salmon","Chicken_Caesar_Salad",0.1551601423487544
"Fruit_cup","Salad",0.3162687347507842,"Chicken_Caesar_Salad","Grilled_Salmon",0.3028378646556857
"Salad","Seafood",0.5959569498111643,"Grilled_Salmon","Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad",0.0255210981189628
"Seafood","Salad",0.4640713982150446,"Chicken_Caesar_Salad","Grilled_Salmon, Cut-Fruit_Cup_Seasonal_Mix",0.049811470529867
"Salad","Seafood, Meat",0.2137664549086384,"Cut-Fruit_Cup_Seasonal_Mix","Grilled_Salmon, Chicken_Caesar_Salad",0.0327249022164276
"Seafood","Salad, Meat",0.1664598385040373,"Grilled_Salmon, Chicken_Caesar_Salad","Cut-Fruit_Cup_Seasonal_Mix",0.1644823066841415
"Meat","Salad, Seafood",0.1670106257781719,"Grilled_Salmon, Cut-Fruit_Cup_Seasonal_Mix","Chicken_Caesar_Salad",0.10992700729927
"Salad, Seafood","Meat",0.3586944576724422,"Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad","Grilled_Salmon",0.3120596767509325
"Salad, Meat","Seafood",0.3597883597883597,"Shrimp_Scampi","Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad",0.0269781718963165
"Seafood, Meat","Salad",0.5288970508804148,"Chicken_Caesar_Salad","Shrimp_Scampi, Cut-Fruit_Cup_Seasonal_Mix",0.0523251967983065
"Salad","Fruit_cup, Meat",0.2021961708909118,"Cut-Fruit_Cup_Seasonal_Mix","Shrimp_Scampi, Chicken_Caesar_Salad",0.0343763581051716
"Fruit_cup","Salad, Meat",0.2017689090275357,"Shrimp_Scampi, Chicken_Caesar_Salad","Cut-Fruit_Cup_Seasonal_Mix",0.1741907068927549
"Meat","Salad, Fruit_cup",0.1579710392113387,"Shrimp_Scampi, Cut-Fruit_Cup_Seasonal_Mix","Chicken_Caesar_Salad",0.1141414141414141
"Salad, Fruit_cup","Meat",0.6379666620746659,"Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad","Shrimp_Scampi",0.3278077082469954
"Salad, Meat","Fruit_cup",0.3403145208700764,"Cut-Fruit_Cup_Seasonal_Mix","Chicken_Caesar_Salad, Mixed_Veggie_Stir_Fry",0.0201216862233811
"Fruit_cup, Meat","Salad",0.3401145710928319,"Chicken_Caesar_Salad","Cut-Fruit_Cup_Seasonal_Mix, Mixed_Veggie_Stir_Fry",0.0306277700601971
"Salad","Fruit_cup, Seafood",0.2038553059576047,"Mixed_Veggie_Stir_Fry","Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad",0.0202723411708043
"Fruit_cup","Salad, Seafood",0.2034245381666085,"Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad","Mixed_Veggie_Stir_Fry",0.1918773311230832
"Seafood","Salad, Fruit_cup",0.1587420314492137,"Cut-Fruit_Cup_Seasonal_Mix, Mixed_Veggie_Stir_Fry","Chicken_Caesar_Salad",0.1267451409800164
"Salad, Fruit_cup","Seafood",0.6432015429122468,"Chicken_Caesar_Salad, Mixed_Veggie_Stir_Fry","Cut-Fruit_Cup_Seasonal_Mix",0.1879058441558441
"Salad, Seafood","Fruit_cup",0.3420638118612403,"Grilled_Salmon","Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad, Mixed_Veggie_Stir_Fry",0.0053211320115234
"Fruit_cup, Seafood","Salad",0.3411889363878841,"Chicken_Caesar_Salad","Grilled_Salmon, Cut-Fruit_Cup_Seasonal_Mix, Mixed_Veggie_Stir_Fry",0.0103856585301316
"Salad","Fruit_cup, Seafood, Meat",0.0951601283646604,"Cut-Fruit_Cup_Seasonal_Mix","Grilled_Salmon, Chicken_Caesar_Salad, Mixed_Veggie_Stir_Fry",0.0068231203824424
"Fruit_cup","Salad, Seafood, Meat",0.0949590449634018,"Mixed_Veggie_Stir_Fry","Grilled_Salmon, Chicken_Caesar_Salad, Cut-Fruit_Cup_Seasonal_Mix",0.006874206401331
"Seafood","Salad, Fruit_cup, Meat",0.0741011474713132,"Grilled_Salmon, Chicken_Caesar_Salad","Cut-Fruit_Cup_Seasonal_Mix, Mixed_Veggie_Stir_Fry",0.0342944517256443
"Meat","Salad, Fruit_cup, Seafood",0.0743463355562756,"Grilled_Salmon, Cut-Fruit_Cup_Seasonal_Mix","Chicken_Caesar_Salad, Mixed_Veggie_Stir_Fry",0.022919708029197
"Salad, Fruit_cup","Seafood, Meat",0.3002479680396748,"Grilled_Salmon, Mixed_Veggie_Stir_Fry","Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad",0.0228297222626145
"Salad, Seafood","Fruit_cup, Meat",0.1596761786146012,"Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad","Grilled_Salmon, Mixed_Veggie_Stir_Fry",0.0650642353916286
"Salad, Meat","Fruit_cup, Seafood",0.1601631393298059,"Chicken_Caesar_Salad, Mixed_Veggie_Stir_Fry","Grilled_Salmon, Cut-Fruit_Cup_Seasonal_Mix",0.0637175324675324
"Fruit_cup, Seafood","Salad, Meat",0.1592677847199386,"Cut-Fruit_Cup_Seasonal_Mix, Mixed_Veggie_Stir_Fry","Grilled_Salmon, Chicken_Caesar_Salad",0.042978373939228
"Fruit_cup, Meat","Salad, Seafood",0.160069036427732,"Grilled_Salmon, Chicken_Caesar_Salad, Cut-Fruit_Cup_Seasonal_Mix","Mixed_Veggie_Stir_Fry",0.2084993359893758
"Seafood, Meat","Salad, Fruit_cup",0.2354434482013611,"Grilled_Salmon, Chicken_Caesar_Salad, Mixed_Veggie_Stir_Fry","Cut-Fruit_Cup_Seasonal_Mix",0.195273631840796
"Salad, Fruit_cup, Seafood","Meat",0.4668023131291496,"Grilled_Salmon, Cut-Fruit_Cup_Seasonal_Mix, Mixed_Veggie_Stir_Fry","Chicken_Caesar_Salad",0.1366405570060922
"Salad, Fruit_cup, Meat","Seafood",0.470632692722954,"Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad, Mixed_Veggie_Stir_Fry","Grilled_Salmon",0.3390928725701944
"Salad, Seafood, Meat","Fruit_cup",0.4451593137254901,"Shrimp_Scampi","Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad, Mixed_Veggie_Stir_Fry",0.0054911323328785
"Fruit_cup, Seafood, Meat","Salad",0.4446597980210139,"Chicken_Caesar_Salad","Shrimp_Scampi, Cut-Fruit_Cup_Seasonal_Mix, Mixed_Veggie_Stir_Fry",0.0106502612952305
"Seafood","Vegetable",0.4640883977900552,"Cut-Fruit_Cup_Seasonal_Mix","Shrimp_Scampi, Chicken_Caesar_Salad, Mixed_Veggie_Stir_Fry",0.0069969578444154
"Vegetable","Seafood",0.5968126270686226,"Mixed_Veggie_Stir_Fry","Shrimp_Scampi, Chicken_Caesar_Salad, Cut-Fruit_Cup_Seasonal_Mix",0.0070493454179254
"Meat","Vegetable",0.4644983029455408,"Shrimp_Scampi, Chicken_Caesar_Salad","Cut-Fruit_Cup_Seasonal_Mix, Mixed_Veggie_Stir_Fry",0.0354547456507377
"Vegetable","Meat",0.5953697833548303,"Shrimp_Scampi, Cut-Fruit_Cup_Seasonal_Mix","Chicken_Caesar_Salad, Mixed_Veggie_Stir_Fry",0.0232323232323232
"Fruit_cup","Vegetable",0.3156587661205995,"Shrimp_Scampi, Mixed_Veggie_Stir_Fry","Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad",0.0236904061212477
"Vegetable","Fruit_cup",0.3167697789825766,"Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad","Shrimp_Scampi, Mixed_Veggie_Stir_Fry",0.06672192291753
"Salad","Vegetable",0.3145589102102298,"Chicken_Caesar_Salad, Mixed_Veggie_Stir_Fry","Shrimp_Scampi, Cut-Fruit_Cup_Seasonal_Mix",0.0653409090909091
"Vegetable","Salad",0.3149990162429224,"Cut-Fruit_Cup_Seasonal_Mix, Mixed_Veggie_Stir_Fry","Shrimp_Scampi, Chicken_Caesar_Salad",0.0440733643580618
"Seafood","Meat, Vegetable",0.1677858053548661,"Shrimp_Scampi, Chicken_Caesar_Salad, Cut-Fruit_Cup_Seasonal_Mix","Mixed_Veggie_Stir_Fry",0.2035398230088495
"Meat","Seafood, Vegetable",0.1683409800276304,"Shrimp_Scampi, Chicken_Caesar_Salad, Mixed_Veggie_Stir_Fry","Cut-Fruit_Cup_Seasonal_Mix",0.2093628088426528
