Coarse_Class_Antecedent,Coarse_Class_Consequent,Coarse_Class_Confidence,Fine_Class_Antecedent,Fine_Class_Consequent,Fine_Class_Confidence
"Seafood","Meat",0.324010262085618,"Shrimp_Scampi","Cut-Fruit_Cup_Seasonal_Mix",0.2372533862131549
"Meat","Seafood",0.3249911700893082,"Cut-Fruit_Cup_Seasonal_Mix","Shrimp_Scampi",0.3054654030897053
"Fruit_cup","Meat",0.6122933995894998,"Grilled_Salmon","Cut-Fruit_Cup_Seasonal_Mix",0.2351090884754383
"Meat","Fruit_cup",0.4766469885799821,"Cut-Fruit_Cup_Seasonal_Mix","Grilled_Salmon",0.3040373880306374
"Fruit_cup","Seafood",0.609852003888949,"Cut-Fruit_Cup_Seasonal_Mix","Chicken_Caesar_Salad",0.1099571595482279
"Seafood","Fruit_cup",0.4733135469591026,"Chicken_Caesar_Salad","Cut-Fruit_Cup_Seasonal_Mix",0.1655482441852889
"Fruit_cup","Seafood, Meat",0.2274386950415901,"Grilled_Salmon","Chicken_Caesar_Salad",0.1591821710614375
"Seafood","Fruit_cup, Meat",0.1765179334976608,"Chicken_Caesar_Salad","Grilled_Salmon",0.3099224705192521
"Meat","Fruit_cup, Seafood",0.1770523235279277,"Chicken_Caesar_Salad","Grilled_Vegetables",0.1587074076487067
"Fruit_cup, Seafood","Meat",0.3729408013603996,"Grilled_Vegetables","Chicken_Caesar_Salad",0.1056787124202854
"Fruit_cup, Meat","Seafood",0.371453775582216,"Shrimp_Scampi","Chicken_Caesar_Salad",0.1585722448156488
"Seafood, Meat","Fruit_cup",0.5447911814935569,"Chicken_Caesar_Salad","Shrimp_Scampi",0.307381588377093
"Salad","Meat",0.610076527847031,"Chicken_Caesar_Salad","Mixed_Veggie_Stir_Fry",0.1590983125936543
"Meat","Salad",0.4733000319558672,"Mixed_Veggie_Stir_Fry","Chicken_Caesar_Salad",0.1057738121020487
"Salad","Fruit_cup",0.3247772454310924,"Cut-Fruit_Cup_Healthy_Mix","Chicken_Caesar_Salad",0.1082585433206765
"Fruit_cup","Salad",0.3236685751323322,"Chicken_Caesar_Salad","Cut-Fruit_Cup_Healthy_Mix",0.1634634178122353
"Salad","Seafood",0.6133500986407093,"Grilled_Salmon","Cut-Fruit_Cup_Seasonal_Mix, Chicken_Caesar_Salad",0.0274394324722259
